Account,Name,Date,Downloads,Units,Amount
UNIFOODS SA DE CV,ACCOUNTLEVEL,-11,9490,4411,14861
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-11,2762,12145,13762
JARDINS DE NORTENE,ACCOUNTLEVEL,-11,167,12183,476
Terry Store age spa,ACCOUNTLEVEL,-11,485,13486,7587
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-11,3920,6379,1082
ST. CLAIR SERVICE,ACCOUNTLEVEL,-11,5728,6316,2660
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-11,11100,5094,13339
CARNES KM SA DE CV,ACCOUNTLEVEL,-11,4225,10053,4952
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-11,5757,13530,12905
COMNET SA DE CV,ACCOUNTLEVEL,-11,10011,14532,13468
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-11,12726,14368,1878
FRUITCORP SA DE CV,ACCOUNTLEVEL,-11,4648,2529,3498
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-11,5906,5040,4854
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-11,13776,12372,6434
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-11,557,4983,6979
K & S Contractors Supply Co,ACCOUNTLEVEL,-11,4741,6005,14135
Tioga Hardwoods Inc,ACCOUNTLEVEL,-11,10622,70,8308
GHCL Limited,ACCOUNTLEVEL,-11,9851,9513,12082
Motion Industries Inc.,ACCOUNTLEVEL,-11,5903,6528,6802
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-11,3285,1263,11200
Quantum Foods,ACCOUNTLEVEL,-11,12173,4799,8995
Family Magazine,ACCOUNTLEVEL,-11,12667,10669,7176
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-11,11879,14967,8319
Innovative Laser Inc,ACCOUNTLEVEL,-11,10312,10697,9421
Addis Housewares Ltd,ACCOUNTLEVEL,-11,13113,8175,9984
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-11,9251,4563,5478
APLNG,ACCOUNTLEVEL,-11,4561,1209,95
Quince Hungary Kft,ACCOUNTLEVEL,-11,1886,5542,11890
Jandel Scientific Inc.,ACCOUNTLEVEL,-11,9568,7178,9308
Viking Tool & Steel,ACCOUNTLEVEL,-11,11247,8587,12563
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-11,13183,4557,7284
MAPE USA,ACCOUNTLEVEL,-11,459,1825,9765
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-11,10858,12852,5809
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-11,14037,3407,4354
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-11,518,4056,5342
M&M SERVICE CO,ACCOUNTLEVEL,-11,4515,9477,3376
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-11,4402,3543,14736
L and P Financial Services Co,ACCOUNTLEVEL,-11,11851,7459,184
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-11,6565,3003,4788
CATMADER SL,ACCOUNTLEVEL,-11,8309,6389,14804
Tekno Inc,ACCOUNTLEVEL,-11,8339,12815,665
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-11,9458,10066,9435
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-11,3851,1212,6705
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-11,5741,2143,9050
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-11,9094,5453,11251
COMERGALV SA DE CV,ACCOUNTLEVEL,-11,151,9826,11248
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-11,7118,5205,6804
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-11,10227,6397,9995
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-11,6083,2428,393
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-11,14461,10120,1415
TERENTRO SA DE CV,ACCOUNTLEVEL,-11,13205,13733,14231
FUNTASTIC LIMITED,ACCOUNTLEVEL,-11,352,5907,356
DeeTag USA,ACCOUNTLEVEL,-11,6189,12571,6739
Lakeland Village,ACCOUNTLEVEL,-11,6035,4624,4887
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-11,8600,11248,10383
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-11,4107,10309,11804
Do not Use1,ACCOUNTLEVEL,-11,4869,4205,2947
Oil Chem Research Corp,ACCOUNTLEVEL,-11,2811,7888,5884
LICK ELEVATOR,ACCOUNTLEVEL,-11,12478,13309,12544
Quanex Screens LLC,ACCOUNTLEVEL,-11,13219,9752,7663
A and T unlimit Limited,ACCOUNTLEVEL,-10,12673,13404,2464
Sienna Gold Ltd,ACCOUNTLEVEL,-10,8019,10961,6381
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-10,5412,14303,7696
Murex N.A. Ltd,ACCOUNTLEVEL,-10,3865,3206,1554
Via Systems,ACCOUNTLEVEL,-10,5213,14863,2898
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-10,3551,13381,11844
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-10,4916,5299,181
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-10,4994,4902,6478
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-10,14903,10439,1718
Anunay Fab Ltd,ACCOUNTLEVEL,-10,12429,1493,6246
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-10,9076,22,9306
Jadow B & Sons Inc,ACCOUNTLEVEL,-10,13092,12559,14368
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-10,2900,14891,6164
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-10,61,2144,4810
Alltech Automotive LLC,ACCOUNTLEVEL,-10,108,12192,4266
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-10,10442,1671,9152
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-10,159,9117,11997
ATTEBURY GRAIN,ACCOUNTLEVEL,-10,13496,11454,7951
Vicor,ACCOUNTLEVEL,-10,14593,2219,5308
Baja Inc,ACCOUNTLEVEL,-10,7360,9797,12795
National Assn of Printing Ink,ACCOUNTLEVEL,-10,1224,11408,13082
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-10,11072,13128,4860
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-10,5059,1266,1782
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-10,8187,9804,3359
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-10,4555,3517,10909
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-10,560,12022,10789
Triumph Tool NC Inc,ACCOUNTLEVEL,-10,10703,10353,8391
Darta NV,ACCOUNTLEVEL,-10,8146,9064,7394
COTY UK LTD,ACCOUNTLEVEL,-10,5731,13445,9137
Deal Partners Limited,ACCOUNTLEVEL,-10,3699,9495,7792
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-10,14694,10660,11283
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-10,11809,8590,14013
GKN Sinter Metals,ACCOUNTLEVEL,-10,3183,5467,11535
AGENCE PRESSE,ACCOUNTLEVEL,-10,5168,12136,2755
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-10,3973,11227,2387
AUREA SOFTWARE INC,ACCOUNTLEVEL,-10,917,5990,7383
Ocean Sports Wear,ACCOUNTLEVEL,-10,13147,5404,6271
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-10,2310,4933,8306
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-10,14280,3355,11625
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-10,5851,11819,9772
UNIFOODS SA DE CV,ACCOUNTLEVEL,-10,436,8941,6430
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-10,13967,14714,8546
JARDINS DE NORTENE,ACCOUNTLEVEL,-10,5648,6723,8157
Terry Store age spa,ACCOUNTLEVEL,-10,4342,12303,2338
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-10,11407,9757,14275
ST. CLAIR SERVICE,ACCOUNTLEVEL,-10,14787,13106,9432
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-10,2537,8106,6474
CARNES KM SA DE CV,ACCOUNTLEVEL,-10,11813,3473,720
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-10,6115,12335,14495
COMNET SA DE CV,ACCOUNTLEVEL,-10,7668,5808,2400
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-10,13975,1128,8628
FRUITCORP SA DE CV,ACCOUNTLEVEL,-10,5983,12995,6245
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-10,9754,7646,8634
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-10,2291,8940,12961
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-10,14022,13459,13789
K & S Contractors Supply Co,ACCOUNTLEVEL,-10,12602,8319,5032
Tioga Hardwoods Inc,ACCOUNTLEVEL,-10,8675,1399,1393
GHCL Limited,ACCOUNTLEVEL,-10,1032,12107,13229
Motion Industries Inc.,ACCOUNTLEVEL,-10,4236,9588,9009
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-10,14523,9606,4126
Quantum Foods,ACCOUNTLEVEL,-10,5007,3880,12323
Family Magazine,ACCOUNTLEVEL,-10,5684,11433,11832
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-10,306,8773,14583
Innovative Laser Inc,ACCOUNTLEVEL,-10,2311,12560,14141
Addis Housewares Ltd,ACCOUNTLEVEL,-10,9251,9035,4083
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-10,10602,5750,2174
APLNG,ACCOUNTLEVEL,-10,13871,14194,9259
Quince Hungary Kft,ACCOUNTLEVEL,-10,10070,12500,8282
Jandel Scientific Inc.,ACCOUNTLEVEL,-10,6216,11939,14905
Viking Tool & Steel,ACCOUNTLEVEL,-10,3389,13153,10965
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-10,13233,11135,11596
MAPE USA,ACCOUNTLEVEL,-10,11547,1654,8167
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-10,4450,158,6292
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-10,5499,8776,11183
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-10,14712,8593,8136
M&M SERVICE CO,ACCOUNTLEVEL,-10,11046,4864,2954
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-10,10870,12301,5138
L and P Financial Services Co,ACCOUNTLEVEL,-10,3950,3636,439
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-10,9358,6199,11022
CATMADER SL,ACCOUNTLEVEL,-10,14419,2169,14614
Tekno Inc,ACCOUNTLEVEL,-10,8303,12973,4829
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-10,5634,951,11670
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-10,8777,684,696
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-10,6517,355,12151
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-10,6300,1244,7319
COMERGALV SA DE CV,ACCOUNTLEVEL,-10,7400,1367,5083
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-10,7476,3339,6779
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-10,989,8286,8527
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-10,12319,7527,8508
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-10,10544,4341,13246
TERENTRO SA DE CV,ACCOUNTLEVEL,-10,5796,10800,8695
FUNTASTIC LIMITED,ACCOUNTLEVEL,-10,12129,11494,11430
DeeTag USA,ACCOUNTLEVEL,-10,10652,10597,13982
Lakeland Village,ACCOUNTLEVEL,-10,4778,12964,3292
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-10,8553,681,11129
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-10,14490,12782,13066
Do not Use1,ACCOUNTLEVEL,-10,667,4553,792
Oil Chem Research Corp,ACCOUNTLEVEL,-10,13859,2326,8926
LICK ELEVATOR,ACCOUNTLEVEL,-10,12401,2505,7373
Quanex Screens LLC,ACCOUNTLEVEL,-10,2803,5351,5782
A and T unlimit Limited,ACCOUNTLEVEL,-9,4943,7023,6708
Sienna Gold Ltd,ACCOUNTLEVEL,-9,4852,2172,14502
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-9,11381,4610,6517
Murex N.A. Ltd,ACCOUNTLEVEL,-9,13723,9153,7434
Via Systems,ACCOUNTLEVEL,-9,289,14900,6662
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-9,12373,4514,11372
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-9,14663,7641,12506
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-9,5775,2806,5758
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-9,7336,6039,10669
Anunay Fab Ltd,ACCOUNTLEVEL,-9,3264,11692,6276
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-9,12474,8648,3876
Jadow B & Sons Inc,ACCOUNTLEVEL,-9,10167,3696,11795
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-9,308,7683,8451
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-9,8809,5563,10013
Alltech Automotive LLC,ACCOUNTLEVEL,-9,8545,1349,6714
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-9,439,5814,1891
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-9,2669,10141,8003
ATTEBURY GRAIN,ACCOUNTLEVEL,-9,4531,8602,4004
Vicor,ACCOUNTLEVEL,-9,7991,4341,3403
Baja Inc,ACCOUNTLEVEL,-9,5195,10844,10771
National Assn of Printing Ink,ACCOUNTLEVEL,-9,7129,1404,1237
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-9,1032,12955,10759
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-9,10669,12431,13742
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-9,875,4184,9029
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-9,6101,594,1348
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-9,14128,8526,1160
Triumph Tool NC Inc,ACCOUNTLEVEL,-9,1543,3144,7210
Darta NV,ACCOUNTLEVEL,-9,7263,5481,12530
COTY UK LTD,ACCOUNTLEVEL,-9,12468,11858,6276
Deal Partners Limited,ACCOUNTLEVEL,-9,5851,2882,5394
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-9,3720,11003,13440
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-9,891,250,587
GKN Sinter Metals,ACCOUNTLEVEL,-9,9276,4613,8476
AGENCE PRESSE,ACCOUNTLEVEL,-9,1830,4095,10084
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-9,7673,9702,9381
AUREA SOFTWARE INC,ACCOUNTLEVEL,-9,9717,10472,10373
Ocean Sports Wear,ACCOUNTLEVEL,-9,1830,51,9968
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-9,13377,11204,3231
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-9,12729,4973,2492
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-9,7521,10387,11971
UNIFOODS SA DE CV,ACCOUNTLEVEL,-9,12612,7197,3230
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-9,14776,10570,7687
JARDINS DE NORTENE,ACCOUNTLEVEL,-9,6900,2209,4609
Terry Store age spa,ACCOUNTLEVEL,-9,13736,7425,14681
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-9,944,2076,2378
ST. CLAIR SERVICE,ACCOUNTLEVEL,-9,7397,7935,3374
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-9,11546,1036,4411
CARNES KM SA DE CV,ACCOUNTLEVEL,-9,2623,7826,3682
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-9,3247,804,965
COMNET SA DE CV,ACCOUNTLEVEL,-9,7869,8685,5418
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-9,5718,14703,726
FRUITCORP SA DE CV,ACCOUNTLEVEL,-9,7908,8787,9076
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-9,12938,6332,5330
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-9,8590,13503,7325
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-9,2968,2642,3026
K & S Contractors Supply Co,ACCOUNTLEVEL,-9,1477,3378,1878
Tioga Hardwoods Inc,ACCOUNTLEVEL,-9,2419,3056,8058
GHCL Limited,ACCOUNTLEVEL,-9,4551,10686,11844
Motion Industries Inc.,ACCOUNTLEVEL,-9,3275,14475,6189
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-9,12301,5622,4195
Quantum Foods,ACCOUNTLEVEL,-9,11895,7672,12816
Family Magazine,ACCOUNTLEVEL,-9,9873,8548,7981
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-9,5843,2306,7806
Innovative Laser Inc,ACCOUNTLEVEL,-9,8445,5366,12403
Addis Housewares Ltd,ACCOUNTLEVEL,-9,9195,2235,13884
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-9,9598,2081,1660
APLNG,ACCOUNTLEVEL,-9,4950,12488,4023
Quince Hungary Kft,ACCOUNTLEVEL,-9,5292,6414,2807
Jandel Scientific Inc.,ACCOUNTLEVEL,-9,11666,2089,1032
Viking Tool & Steel,ACCOUNTLEVEL,-9,11396,289,11877
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-9,3279,12893,12438
MAPE USA,ACCOUNTLEVEL,-9,6011,12270,8076
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-9,3458,7235,2273
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-9,3267,12799,9784
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-9,12071,2163,10531
M&M SERVICE CO,ACCOUNTLEVEL,-9,2236,7544,6000
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-9,8642,2341,10309
L and P Financial Services Co,ACCOUNTLEVEL,-9,1063,9622,11138
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-9,11941,64,984
CATMADER SL,ACCOUNTLEVEL,-9,6278,14789,4941
Tekno Inc,ACCOUNTLEVEL,-9,119,5591,13194
LUIS MANUEL REYES VAZQUEZ,ACCOUNTLEVEL,-9,6236,7717,7728
COMPUESPECIALISTAS DE SONORA SA DE CV,ACCOUNTLEVEL,-9,12871,2996,6771
CRIBAS Y ARRENDAMIENTOS SA DE CV,ACCOUNTLEVEL,-9,9081,13059,3967
PRODUCTOS CRIBADOS DEL NOROESTE SA DE CV,ACCOUNTLEVEL,-9,6481,7502,11440
COMERGALV SA DE CV,ACCOUNTLEVEL,-9,1722,89,943
FABRICA DE HIGIENICOS Y TUBOS DECARTON SA DE CV,ACCOUNTLEVEL,-9,4708,6805,2608
ORGANIZACION EMPRESARIAL POSTES Y CONSTRUCCIONES S,ACCOUNTLEVEL,-9,8807,5935,11336
Pintura Estampado y Montaje Sapi de CV,ACCOUNTLEVEL,-9,8225,11177,1330
PROD Y DIS VER FRESCAS GUIJOSA SC RL CV,ACCOUNTLEVEL,-9,8750,10925,3413
TERENTRO SA DE CV,ACCOUNTLEVEL,-9,8036,11447,8008
FUNTASTIC LIMITED,ACCOUNTLEVEL,-9,5108,1211,14489
DeeTag USA,ACCOUNTLEVEL,-9,5904,7146,12478
Lakeland Village,ACCOUNTLEVEL,-9,5004,5424,14276
CHAOAN SWEET BEST FOOD CO LTD,ACCOUNTLEVEL,-9,10791,717,5939
Cadbury Beverages Div Cadbury,ACCOUNTLEVEL,-9,4178,12550,4914
Do not Use1,ACCOUNTLEVEL,-9,7759,8013,2532
Oil Chem Research Corp,ACCOUNTLEVEL,-9,555,8287,7917
LICK ELEVATOR,ACCOUNTLEVEL,-9,11902,12843,13458
Quanex Screens LLC,ACCOUNTLEVEL,-9,13926,12361,9776
A and T unlimit Limited,ACCOUNTLEVEL,-8,594,2756,5021
Sienna Gold Ltd,ACCOUNTLEVEL,-8,7369,12923,12050
COLD EXPRESS SA DE CV,ACCOUNTLEVEL,-8,1594,1455,2591
Murex N.A. Ltd,ACCOUNTLEVEL,-8,12880,1732,13939
Via Systems,ACCOUNTLEVEL,-8,5749,1619,5062
DAKTEL COMUNICACIONES SA DE CV,ACCOUNTLEVEL,-8,10007,7199,8395
DLI REFACCIONES Y SERVICIOS INTEGTRALES S DE RL DE,ACCOUNTLEVEL,-8,12453,4306,1184
OBED GERARDO ARELLANO GUTIERREZ,ACCOUNTLEVEL,-8,7481,10202,5042
REFRIGERACION COMER AGROPECU,ACCOUNTLEVEL,-8,4269,11141,4110
Anunay Fab Ltd,ACCOUNTLEVEL,-8,10351,4339,9941
SUPER URECOAT INDUSTRIES,ACCOUNTLEVEL,-8,5856,6314,11943
Jadow B & Sons Inc,ACCOUNTLEVEL,-8,14835,6463,9172
Republic of Nauru Phosphate (RONPHOS) Corporation,ACCOUNTLEVEL,-8,1325,5980,5550
CARHLUC CARROCERIAS Y REMOLQUES SA DE CV,ACCOUNTLEVEL,-8,766,3568,1487
Alltech Automotive LLC,ACCOUNTLEVEL,-8,10357,8643,9823
DALE VALOR A MEXICO SC,ACCOUNTLEVEL,-8,5203,10236,10626
SPIN MASTER MEXICO SA DE CV,ACCOUNTLEVEL,-8,5858,8516,3268
ATTEBURY GRAIN,ACCOUNTLEVEL,-8,6951,11182,1418
Vicor,ACCOUNTLEVEL,-8,11749,1753,7663
Baja Inc,ACCOUNTLEVEL,-8,13776,2146,247
National Assn of Printing Ink,ACCOUNTLEVEL,-8,6680,4045,5974
MA PATRICIA ROSALES HERNANDEZ,ACCOUNTLEVEL,-8,10142,8942,14994
EVERTIS DE MEXICO SA DE CV,ACCOUNTLEVEL,-8,6301,65,240
GENERAL DE CERAMICA S A DE C V,ACCOUNTLEVEL,-8,6020,6087,14225
GRUPO VACTREK SA DE CV,ACCOUNTLEVEL,-8,9350,570,14772
JUAN ANGEL FLORES AGUIRRE,ACCOUNTLEVEL,-8,4407,7532,8968
Triumph Tool NC Inc,ACCOUNTLEVEL,-8,12740,9707,11320
Darta NV,ACCOUNTLEVEL,-8,4267,14416,11655
COTY UK LTD,ACCOUNTLEVEL,-8,14630,8809,8696
Deal Partners Limited,ACCOUNTLEVEL,-8,610,9241,12647
IRISA ADHESIVES CORPORATION SA DE CV,ACCOUNTLEVEL,-8,2769,5782,503
BOESDORFER & BOESDORFER INC,ACCOUNTLEVEL,-8,2478,13211,2316
GKN Sinter Metals,ACCOUNTLEVEL,-8,13678,852,13421
AGENCE PRESSE,ACCOUNTLEVEL,-8,2754,5438,913
Vesco Foods Pty Ltd,ACCOUNTLEVEL,-8,856,6368,12713
AUREA SOFTWARE INC,ACCOUNTLEVEL,-8,50,1883,4459
Ocean Sports Wear,ACCOUNTLEVEL,-8,1690,8798,5820
NOVA INSTRUMENTS SERVICE SA DE CV,ACCOUNTLEVEL,-8,2468,6232,11488
RAUL MORALES RAMIREZ,ACCOUNTLEVEL,-8,4,6050,6052
STANLEY BOSTITCH SA DE CV,ACCOUNTLEVEL,-8,2317,7775,10734
UNIFOODS SA DE CV,ACCOUNTLEVEL,-8,11594,9215,9293
TOMAS MARTINEZ PATLAN,ACCOUNTLEVEL,-8,6961,7755,7650
JARDINS DE NORTENE,ACCOUNTLEVEL,-8,12389,4779,386
Terry Store age spa,ACCOUNTLEVEL,-8,10152,7515,1642
Goldie Marketing Pty Ltd,ACCOUNTLEVEL,-8,6510,6195,1455
ST. CLAIR SERVICE,ACCOUNTLEVEL,-8,771,6082,1204
Scottish Shellfish Marketing Group Ltd,ACCOUNTLEVEL,-8,7247,14279,513
CARNES KM SA DE CV,ACCOUNTLEVEL,-8,701,13746,7505
COMERCIALIZADORA UNICOR SA DE CV,ACCOUNTLEVEL,-8,8300,7345,828
COMNET SA DE CV,ACCOUNTLEVEL,-8,7043,7763,5100
DISTRIB Y COMERC KOWALSKY SA DE CV,ACCOUNTLEVEL,-8,4930,7351,630
FRUITCORP SA DE CV,ACCOUNTLEVEL,-8,7569,14208,8459
ORIGINALES THELVA SA DE CV,ACCOUNTLEVEL,-8,709,6794,2286
SISTEMAS MECANICOS E HIDRAULICOS SA DE CV,ACCOUNTLEVEL,-8,11514,7599,12519
COMERCIALIZADORA RIMATOM SA de CV,ACCOUNTLEVEL,-8,2047,3313,8623
K & S Contractors Supply Co,ACCOUNTLEVEL,-8,9779,978,14338
Tioga Hardwoods Inc,ACCOUNTLEVEL,-8,13602,10544,9068
GHCL Limited,ACCOUNTLEVEL,-8,14039,3382,779
Motion Industries Inc.,ACCOUNTLEVEL,-8,605,9519,14380
SUKETU ORGANICS PRIVATE LIMITED,ACCOUNTLEVEL,-8,609,5412,13825
Quantum Foods,ACCOUNTLEVEL,-8,574,7740,1608
Family Magazine,ACCOUNTLEVEL,-8,9229,1132,13692
PROGRESSIVE AG PARTNERS,ACCOUNTLEVEL,-8,99,3665,8463
Innovative Laser Inc,ACCOUNTLEVEL,-8,12191,5426,5877
Addis Housewares Ltd,ACCOUNTLEVEL,-8,11449,788,2339
SIGMADIS BRIGNAIS,ACCOUNTLEVEL,-8,13158,8504,9401
APLNG,ACCOUNTLEVEL,-8,9467,14933,3728
Quince Hungary Kft,ACCOUNTLEVEL,-8,9585,1436,11978
Jandel Scientific Inc.,ACCOUNTLEVEL,-8,5008,11530,5847
Viking Tool & Steel,ACCOUNTLEVEL,-8,5240,2367,7119
HIELO Y REFRIGERACION DE CABORCA SA DE CV,ACCOUNTLEVEL,-8,1054,11787,10853
MAPE USA,ACCOUNTLEVEL,-8,8467,6738,6429
CONSORCIO DE ALIM DEL CARIBE SA DE CV,ACCOUNTLEVEL,-8,3107,7635,6010
PRODUCCIONES AGRICOLA DE TABASCO SA CV,ACCOUNTLEVEL,-8,3765,14081,1087
RICARDO ALEJANDRO DE LEON PEDROZA,ACCOUNTLEVEL,-8,10573,1572,1778
M&M SERVICE CO,ACCOUNTLEVEL,-8,10656,5071,9406
CARROLLTON FARMERS ELEVATOR CO,ACCOUNTLEVEL,-8,14099,7154,8318
L and P Financial Services Co,ACCOUNTLEVEL,-8,11870,7721,1975
Ingenieria y Maquinaria de Guadalupe SA de CV,ACCOUNTLEVEL,-8,2429,7665,12581
